species,date_collected,plot,sex,weight,scale_calibrated,,,,,,,,,,,,,,,,,,,,
DM,2013-07-16,2,F,NA,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-16,7,M,33,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-16,3,M,NA,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-16,1,M,NA,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-18,3,M,40,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-18,7,M,48,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-18,4,F,29,Y,,,,,,,,,,,,,,,,,,,,
DM,2013-07-18,6,F,37,Y,,,,,,,,,,,,,,,,,,,,
DO,2013-08-19,8,F,52,Y,,,,,,,,,,,,,,,,,,,,
DO,2013-10-17,3,F,33,Y,,,,,,,,,,,,,,,,,,,,
DO,2013-10-17,3,F,50,Y,,,,,,,,,,,,,,,,,,,,
DO,2013-12-10,9,F,40,Y,,,,,,,,,,,,,,,,,,,,
DO,2013-12-10,1,M,45,Y,,,,,,,,,,,,,,,,,,,,
DO,2013-12-11,8,F,41,Y,,,,,,,,,,,,,,,,,,,,
DS,2013-11-12,9,F,117,Y,,,,,,,,,,,,,,,,,,,,
DS,2013-11-13,11,F,126,Y,,,,,,,,,,,,,,,,,,,,
DS,2013-11-13,17,M,132,N,,,,,,,,,,,,,,,,,,,,
DS,2013-11-13,14,F,113,N,,,,,,,,,,,,,,,,,,,,
DS,2013-11-13,11,F,122,Y,,,,,,,,,,,,,,,,,,,,
DS,2013-11-13,4,F,107,Y,,,,,,,,,,,,,,,,,,,,
DS,2013-11-13,4,F,115,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-09,1,M,40,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-09,1,F,36,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-03-13,1,F,51,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-03-13,1,F,44,Y,,,,,,,,,,,,,,,,,,,,
DS,2014-03-13,1,F,146,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-01-08,2,NA,NA,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-08,2,M,44,Y,,,,,,,,,,,,,,,,,,,,
PF,2014-01-08,2,F,7,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-08,2,M,45,Y,,,,,,,,,,,,,,,,,,,,
OT,2014-01-08,2,NA,NA,Y,,,,,,,,,,,,,,,,,,,,
DS,2014-01-08,2,M,157,N,,,,,,,,,,,,,,,,,,,,
OX,2014-01-08,2,NA,NA,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-02-18,2,M,218,N,,,,,,,,,,,,,,,,,,,,
PF,2014-02-18,2,F,7,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-02-18,2,M,52,Y,,,,,,,,,,,,,,,,,,,,
PF,2014-03-11,3,M,8,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-04-08,3,F,NA,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-05-06,3,NA,NA,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-05-18,3,F,182,Y,,,,,,,,,,,,,,,,,,,,
OT,2014-06-09,3,F,29,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-07-08,3,F,115,Y,,,,,,,,,,,,,,,,,,,,
NA,2014-07-08,3,M,190,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-08,4,F,37,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-08,4,M,NA,Y,,,,,,,,,,,,,,,,,,,,
DM,2014-01-08,4,F,48,Y,,,,,,,,,,,,,,,,,,,,
DO,2014-01-08,4,M,52,Y,,,,,,,,,,,,,,,,,,,,
OL,2014-01-08,4,M,35,Y,,,,,,,,,,,,,,,,,,,,
